LoginTime,LogoffTime,UserName,DomainName,IP,备注
"Mar 8, 2022 @ 08:51:35.383","Mar 8, 2022 @ 09:34:54.489",bin.zeng,VERSACE,10.86.3.58,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 09:00:26.492","Mar 8, 2022 @ 12:07:26.908",victo.chang,VERSACE,10.86.3.28,
"Mar 8, 2022 @ 09:15:30.425","Mar 8, 2022 @ 09:19:54.456",Stella.Liu,VERSACE,10.86.3.20,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 09:25:18.907","Mar 8, 2022 @ 09:32:02.825",Jasmine.Zhang,VERSACE,10.86.3.107,
"Mar 8, 2022 @ 09:34:54.489","Mar 8, 2022 @ 09:35:20.291",bin.zeng,VERSACE,10.86.3.58,
"Mar 8, 2022 @ 09:35:09.589","Mar 8, 2022 @ 10:43:48.577",brian.yuan,VERSACE,10.86.3.164,
"Mar 8, 2022 @ 09:35:20.291","Mar 8, 2022 @ 09:36:14.252",bin.zeng,VERSACE,10.86.9.130,
"Mar 8, 2022 @ 09:36:14.252","Mar 8, 2022 @ 10:09:32.859",bin.zeng,VERSACE,10.86.3.58,
"Mar 8, 2022 @ 09:47:27.771","Mar 8, 2022 @ 10:07:28.323",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 10:06:00.853","Mar 8, 2022 @ 10:28:33.663",rebecca.jiang,VERSACE,10.86.3.42,
"Mar 8, 2022 @ 10:06:18.528","Mar 8, 2022 @ 15:54:08.694",Silvia.Chang,VERSACE,10.86.3.72,
"Mar 8, 2022 @ 10:21:59.308","Mar 8, 2022 @ 14:40:02.732",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 10:29:22.444","Mar 8, 2022 @ 11:08:07.991",rebecca.jiang,VERSACE,10.86.3.175,
"Mar 8, 2022 @ 10:29:29.449","Mar 8, 2022 @ 11:16:01.614",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 11:08:53.045","Mar 8, 2022 @ 12:13:37.285",rebecca.jiang,VERSACE,10.86.3.175,
"Mar 8, 2022 @ 11:13:42.040","Mar 8, 2022 @ 11:13:58.186",Amy.Tang,VERSACE,10.86.3.16,
"Mar 8, 2022 @ 11:15:08.667","Mar 8, 2022 @ 11:31:52.455",Amy.Tang,VERSACE,10.86.3.16,
"Mar 8, 2022 @ 11:24:17.603","Mar 8, 2022 @ 12:17:02.271",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 12:23:03.460","Mar 8, 2022 @ 12:49:03.704",Sherry.Xie,VERSACE,10.86.3.146,
"Mar 8, 2022 @ 12:28:44.026","Mar 8, 2022 @ 13:20:35.407",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 13:44:06.947","Mar 8, 2022 @ 14:00:28.443",haylie.ng,VERSACE,192.168.0.189,
"Mar 8, 2022 @ 14:00:06.276","Mar 9, 2022 @ 10:33:27.915",Effy.Yin,VERSACE,10.86.3.201,
"Mar 8, 2022 @ 14:01:10.189","Mar 8, 2022 @ 14:13:37.590",rebecca.jiang,VERSACE,10.86.1.182,
"Mar 8, 2022 @ 14:05:34.673","Mar 8, 2022 @ 16:09:01.940",haylie.ng,VERSACE,192.168.0.189,
"Mar 8, 2022 @ 14:13:37.590","Mar 8, 2022 @ 16:19:52.683",rebecca.jiang,VERSACE,10.86.1.182,
"Mar 8, 2022 @ 14:16:21.453","Mar 8, 2022 @ 14:22:43.796",Kyna.Li,VERSACE,10.86.3.32,
"Mar 8, 2022 @ 14:24:49.096","Mar 9, 2022 @ 02:20:38.067",Philip.Yang,VERSACE,10.86.3.176,
"Mar 8, 2022 @ 15:04:27.768","Mar 8, 2022 @ 17:26:02.425",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 15:29:56.230","Mar 8, 2022 @ 15:30:06.544",Administrator,GVCN,10.86.1.254,
"Mar 8, 2022 @ 15:40:07.173","Mar 8, 2022 @ 15:55:46.335",adm_admt,VERSACE,10.86.1.20,
